ltla,cancer_total_expected,circ_total_expected,heart_total_expected,cancer_observed,circulatory_observed,heart_observed,cancer_smr,circulatory_smr,heart_smr
Darlington,289,259,109,352,275,114,1.22,1.06,1.05
County Durham,1422,1232,527,1533,1393,666,1.08,1.13,1.26
Hartlepool,236,207,87,282,238,117,1.19,1.15,1.34
Middlesbrough,315,275,117,412,321,154,1.31,1.17,1.32
Northumberland,1019,897,381,1000,856,343,0.98,0.95,0.90
Redcar and Cleveland,406,356,151,473,344,154,1.17,0.97,1.02
Stockton-on-Tees,482,418,179,536,421,198,1.11,1.01,1.11
Gateshead,526,469,198,650,507,220,1.24,1.08,1.11
Newcastle upon Tyne,599,542,226,719,575,217,1.20,1.06,0.96
North Tyneside,554,494,208,607,584,251,1.10,1.18,1.21
South Tyneside,400,355,149,480,413,180,1.20,1.16,1.21
Sunderland,723,625,267,830,643,299,1.15,1.03,1.12
Blackburn with Darwen,299,258,111,344,295,141,1.15,1.14,1.27
Blackpool,386,344,145,459,437,201,1.19,1.27,1.39
Cheshire East,1163,1055,442,1043,984,402,0.90,0.93,0.91
Cheshire West and Chester,984,881,370,947,815,312,0.96,0.93,0.84
Halton,301,251,109,363,273,127,1.21,1.09,1.17
Warrington,529,459,195,545,445,200,1.03,0.97,1.03
Allerdale,306,276,116,324,311,131,1.06,1.13,1.13
Barrow-in-Furness,188,163,69,205,215,93,1.09,1.32,1.35
Carlisle,309,277,117,330,294,113,1.07,1.06,0.97
Copeland,200,175,75,240,192,93,1.20,1.10,1.24
Eden,186,166,70,153,150,63,0.82,0.90,0.90
South Lakeland,380,348,145,348,330,115,0.92,0.95,0.79
Bolton,664,576,245,665,631,327,1.00,1.10,1.33
Bury,466,408,173,504,382,196,1.08,0.94,1.13
Manchester,732,628,269,956,889,461,1.31,1.42,1.71
Oldham,507,435,186,595,506,275,1.17,1.16,1.48
Rochdale,480,414,177,536,511,249,1.12,1.23,1.41
Salford,491,430,182,585,493,226,1.19,1.15,1.24
Stockport,787,715,298,778,695,345,0.99,0.97,1.16
Tameside,528,449,194,598,555,305,1.13,1.24,1.57
Trafford,563,512,214,542,513,255,0.96,1.00,1.19
Wigan,812,685,296,824,736,334,1.01,1.07,1.13
Burnley,219,193,82,257,238,125,1.17,1.23,1.52
Chorley,306,263,113,313,283,131,1.02,1.08,1.16
Fylde,294,272,113,286,229,95,0.97,0.84,0.84
Hyndburn,195,168,72,204,205,95,1.05,1.22,1.32
Lancaster,384,346,145,400,383,195,1.04,1.11,1.34
Pendle,224,196,83,234,213,104,1.04,1.09,1.25
Preston,296,264,112,352,297,123,1.19,1.12,1.10
Ribble Valley,194,174,73,217,150,75,1.12,0.86,1.03
Rossendale,175,151,65,184,154,82,1.05,1.02,1.26
South Ribble,310,273,115,306,258,123,0.99,0.95,1.07
West Lancashire,330,291,124,322,327,144,0.98,1.12,1.16
Wyre,397,360,150,388,385,172,0.98,1.07,1.15
Knowsley,349,300,128,461,360,158,1.32,1.20,1.23
Liverpool,982,849,362,1212,961,418,1.23,1.13,1.15
Sefton,858,787,326,944,828,342,1.10,1.05,1.05
St. Helens,486,419,179,473,450,204,0.97,1.07,1.14
Wirral,918,828,346,989,879,368,1.08,1.06,1.06
East Riding of Yorkshire,1149,1027,433,1166,1061,441,1.01,1.03,1.02
