ltla,percentage_prevalence_smokers
Adur,8.40
Allerdale,5.20
Amber Valley,13.20
Arun,13.50
Ashfield,13.90
Ashford,11.30
Babergh,22.50
Barking and Dagenham,20.10
Barnet,17.90
Barnsley,15.20
Barrow-in-Furness,4.80
Basildon,10.00
Basingstoke and Deane,5.50
Bassetlaw,25.80
Bath and North East Somerset,14.80
Bedford,7.60
Bexley,11.60
Birmingham,17.20
Blaby,16.70
Blackburn with Darwen,22.70
Blackpool,21.20
Bolsover,29.70
Bolton,21.30
Boston,15.30
"Bournemouth, Christchurch and Poole",13.40
Bracknell Forest,9.30
Bradford,11.50
Braintree,15.70
Breckland,13.50
Brent,13.00
Brentwood,3.00
Brighton and Hove,21.20
"Bristol, City of",21.60
Broadland,19.10
Bromley,18.70
Bromsgrove,4.70
Broxbourne,4.80
Broxtowe,6.40
Buckinghamshire,12.97
Burnley,25.50
Bury,21.30
Calderdale,16.10
Cambridge,17.80
Camden,13.40
Cannock Chase,12.30
Canterbury,5.00
Carlisle,19.30
Castle Point,1.40
Central Bedfordshire,12.90
Charnwood,14.40
Chelmsford,12.80
Cheltenham,10.90
Cherwell,16.10
Cheshire East,5.90
Cheshire West and Chester,6.50
Chesterfield,10.10
Chichester,5.60
Chorley,16.70
City of London,0.00
Colchester,6.30
Copeland,9.00
Cornwall,14.40
Cotswold,5.70
County Durham,14.50
Coventry,11.50
Craven,6.10
Crawley,23.20
Croydon,11.70
Dacorum,7.40
Darlington,10.90
Dartford,12.10
Derby,18.50
Derbyshire Dales,17.10
Doncaster,16.40
Dorset,12.60
Dover,11.10
Dudley,14.90
Ealing,9.30
East Cambridgeshire,22.90
East Devon,18.90
East Hampshire,8.60
East Hertfordshire,5.40
East Lindsey,19.10
East Riding of Yorkshire,11.50
East Staffordshire,21.40
East Suffolk,18.00
Eastbourne,24.70
Eastleigh,4.40
Eden,15.90
Elmbridge,2.60
Enfield,19.00
Epping Forest,17.00
Epsom and Ewell,4.30
Erewash,10.80
Exeter,14.80
Fareham,7.10
Fenland,13.10
Folkestone and Hythe,14.80
Forest of Dean,12.70
Fylde,3.90
